"id","Uid","Did","Key","Time","UpdateTime","avg_hrm","calories","distance","duration","end_time","hrm_aerobic_duration","hrm_anaerobic_duration","hrm_extreme_duration","hrm_fat_burning_duration","hrm_warm_up_duration","max_cadence","max_hrm","max_pace","max_speed","min_hrm","min_pace","proto_type","sport_type","start_time","steps","time"
"6218970817_789218978_1760224778",6218970817,"789218978","outdoor_run_class",1760224778,1760295406,134,355,7288,3992,1760228770,639,1101,45,430,1663,213,185,402,8.953035,90,1038,22,1,1760224778,8791,1760224778
"6218970817_789218978_1759101560",6218970817,"789218978","outdoor_run_class",1759101560,1759115955,150,503,9938,4287,1759105847,2740,840,27,577,62,186,181,398,9.043034,67,850,22,1,1759101560,11712,1759101560
"6218970817_789218978_1758496771",6218970817,"789218978","outdoor_run_class",1758496771,1758501387,154,520,10453,4567,1758501338,2578,1537,0,409,20,213,179,400,8.982611,72,835,22,1,1758496771,12541,1758496771
"6218970817_789218978_1758064140",6218970817,"789218978","outdoor_run_class",1758064140,1758068939,153,505,8816,4056,1758068196,3287,624,0,119,16,213,174,391,9.184942,97,799,22,1,1758064140,11389,1758064140
"6218970817_789218978_1757285935",6218970817,"789218978","outdoor_run_class",1757285935,1757292399,144,507,9578,4513,1757290449,3570,141,0,392,387,186,170,397,9.065026,71,797,22,1,1757285935,12266,1757285935
"6218970817_777365055_1755473317",6218970817,"777365055","outdoor_run_class",1755473317,1755477934,150,372,8309,3778,1755477092,1004,1748,28,452,506,180,181,326,10.59,69,1000,22,1,1755473317,9808,1755473317
"6218970817_777365055_1755382504",6218970817,"777365055","outdoor_run_class",1755382504,1755477932,139,432,9297,5050,1755387550,474,1750,58,989,1763,182,180,303,11.31,95,1333,22,1,1755382504,11383,1755382504
"6218970817_777365055_1746401730",6218970817,"777365055","outdoor_run_class",1746401730,1746422530,158,460,10108,4149,1746405876,654,2802,67,275,312,182,182,309,10.52,70,1571,22,1,1746401730,11254,1746401730
"6218970817_777365055_1745797180",6218970817,"777365055","outdoor_run_class",1745797180,1745864960,154,423,9952,3977,1745801161,946,2091,56,656,203,182,183,294,11.7,69,1400,22,1,1745797180,10737,1745797180
"6218970817_777365055_1744588467",6218970817,"777365055","outdoor_run_class",1744588467,1744609084,120,50,1598,832,1744589299,115,0,0,367,262,190,154,222,15.1,70,1000,22,1,1744588467,1862,1744588467
"6218970817_777365055_1743982201",6218970817,"777365055","outdoor_run_class",1743982201,1744067888,144,263,5922,2851,1743985051,989,886,0,466,471,182,173,258,11.97,67,3666,22,1,1743982201,6920,1743982201
"6218970817_777365055_1743376382",6218970817,"777365055","outdoor_run_class",1743376382,1743428654,134,303,7092,3856,1743380235,1832,10,0,774,1179,180,160,322,10.09,70,4200,22,1,1743376382,8949,1743376382
"6218970817_777365055_1742771915",6218970817,"777365055","outdoor_run_class",1742771915,1742775215,132,79,2509,1031,1742772946,403,0,0,402,180,184,156,238,14.52,71,937,22,1,1742771915,2746,1742771915
"6218970817_777365055_1741563229",6218970817,"777365055","outdoor_run_class",1741563229,1741567385,169,483,10013,3825,1741567052,277,2226,980,226,98,184,188,250,13.86,92,2200,22,1,1741563229,10360,1741563229
"6218970817_777365055_1741359994",6218970817,"777365055","outdoor_run_class",1741359994,1741384844,152,439,9256,4231,1741364222,867,2139,24,714,473,188,182,252,12.97,76,2727,22,1,1741359994,10703,1741359994
"6218970817_xiaomiwear_app_1740957529",6218970817,"xiaomiwear_app","outdoor_run_class",1740957529,1741271523,170,393,7963,3095,1740960624,539,1751,687,31,12,186,190,220,16.363636,65,2089,22,1,1740957529,8549,1740957529
"6218970817_777365055_1738452592",6218970817,"777365055","outdoor_run_class",1738452592,1738455565,152,225,5223,2149,1738454739,1129,642,27,204,136,190,186,258,13.3,83,1600,22,1,1738452592,5799,1738452592
"6218970817_777365055_1737587972",6218970817,"777365055","outdoor_run_class",1737587972,1737695607,159,426,9260,3718,1737591688,656,2195,98,622,123,182,183,275,12.43,76,1400,22,1,1737587972,10009,1737587972
"6218970817_xiaomiwear_app_1737331742",6218970817,"xiaomiwear_app","outdoor_run_class",1737331742,1737333869,92,24,208,1040,1737332784,0,0,0,0,140,192,114,0,2,80,2330,22,1,1737331742,9,1737331742
"6218970817_xiaomiwear_app_1737328043",6218970817,"xiaomiwear_app","outdoor_run_class",1737328043,1737333866,160,417,9227,3650,1737331694,837,2262,11,485,28,192,180,279,12,76,1568,22,1,1737328043,10247,1737328043
"6218970817_777365055_1733873023",6218970817,"777365055","outdoor_run_class",1733873023,1733947634,165,411,9165,3393,1733876414,415,2799,127,16,18,182,182,291,11.26,78,603,22,1,1733873023,9831,1733873023
"6218970817_777365055_1733095302",6218970817,"777365055","outdoor_run_class",1733095302,1733159846,161,356,7928,3061,1733098360,793,1792,149,265,41,184,184,267,12.89,83,1500,22,1,1733095302,8394,1733095302
"6218970817_777365055_1732486433",6218970817,"777365055","outdoor_run_class",1732486433,1732572244,147,170,4858,1746,1732488177,625,458,0,617,38,180,179,333,10.34,102,1000,22,1,1732486433,5037,1732486433
"6218970817_xiaomiwear_app_1730676991",6218970817,"xiaomiwear_app","outdoor_run_class",1730676991,1730678719,146,153,5252,1639,1730678630,1097,139,0,363,12,192,165,229,15,83,1828,22,1,1730676991,4755,1730676991
"6218970817_xiaomiwear_app_1730589715",6218970817,"xiaomiwear_app","outdoor_run_class",1730589715,1730592889,152,326,8831,3165,1730592882,1191,1238,0,696,15,198,176,228,15,87,2311,22,1,1730589715,8866,1730589715
"6218970817_777365055_1728514192",6218970817,"777365055","outdoor_run_class",1728514192,1728519984,169,448,10060,3542,1728517732,245,3199,9,31,26,184,180,309,11.04,83,2400,22,1,1728514192,10351,1728514192
"6218970817_777365055_1727653043",6218970817,"777365055","outdoor_run_class",1727653043,1727658769,167,387,9198,3129,1727656170,445,2293,263,105,16,192,191,265,12.78,93,833,22,1,1727653043,9251,1727653043
"6218970817_777365055_1727049618",6218970817,"777365055","outdoor_run_class",1727049618,1727132293,162,230,5809,2004,1727051621,460,895,361,242,28,200,185,258,13.5,94,1071,22,1,1727049618,5468,1727049618
"6218970817_777365055_1726702962",6218970817,"777365055","outdoor_run_class",1726702962,1726774980,157,224,5285,2046,1726705007,616,905,120,362,26,200,186,258,13.38,96,1578,22,1,1726702962,5189,1726702962
"6218970817_xiaomiwear_app_1725838361",6218970817,"xiaomiwear_app","outdoor_run_class",1725838361,1725850091,136,338,8746,4164,1725842527,1794,508,0,449,1375,192,179,207,17,75,2208,22,1,1725838361,9732,1725838361
"6218970817_xiaomiwear_app_1725374617",6218970817,"xiaomiwear_app","outdoor_run_class",1725374617,1725377657,157,271,6309,2447,1725377065,494,1277,164,465,22,186,187,238,15,92,2224,22,1,1725374617,6572,1725374617
"6218970817_xiaomiwear_app_1725220514",6218970817,"xiaomiwear_app","outdoor_run_class",1725220514,1725226076,174,698,14546,5206,1725225721,300,2724,2085,37,28,192,189,246,14,129,1941,22,1,1725220514,14938,1725220514
"6218970817_xiaomiwear_app_1724627899",6218970817,"xiaomiwear_app","outdoor_run_class",1724627899,1724631903,157,399,9325,3593,1724631492,943,1595,310,562,161,192,186,217,16,76,2275,22,1,1724627899,9325,1724627899
"6218970817_xiaomiwear_app_1724023713",6218970817,"xiaomiwear_app","outdoor_run_class",1724023713,1724027402,133,282,6784,3681,1724027394,596,1007,0,523,1287,180,175,237,15,87,2244,22,1,1724023713,8142,1724023713
"6218970817_xiaomiwear_app_1720396638",6218970817,"xiaomiwear_app","outdoor_run_class",1720396638,1720401373,153,490,9331,4727,1720401368,977,1180,1146,661,417,192,196,264,13,129,2336,22,1,1720396638,10020,1720396638
"6218970817_xiaomiwear_app_1716680829",6218970817,"xiaomiwear_app","outdoor_run_class",1716680829,1716685911,142,407,10093,4603,1716685433,1251,1066,255,690,1268,204,187,208,17,85,2370,22,1,1716680829,10506,1716680829
"6218970817_xiaomiwear_app_1716566511",6218970817,"xiaomiwear_app","outdoor_run_class",1716566511,1716569429,167,342,7401,2833,1716569346,469,1272,793,253,8,186,190,232,15,91,2009,22,1,1716566511,7073,1716566511
"6218970817_xiaomiwear_app_1716479206",6218970817,"xiaomiwear_app","outdoor_run_class",1716479206,1716566470,NA,85,2040,1127,1716480333,NA,NA,NA,NA,NA,186,NA,214,16,NA,2350,22,1,1716479206,1858,1716479206
"6218970817_xiaomiwear_app_1716162330",6218970817,"xiaomiwear_app","outdoor_run_class",1716162330,1716187126,140,385,8713,4519,1716166851,706,1479,0,1001,1302,186,179,254,14,68,2336,22,1,1716162330,9997,1716162330
"6218970817_xiaomiwear_app_1711927695",6218970817,"xiaomiwear_app","outdoor_run_class",1711927695,1711931611,163,360,8625,3081,1711930778,541,1207,854,425,43,222,189,229,15,104,1770,22,1,1711927695,8235,1711927695
"6218970817_xiaomiwear_app_1711841084",6218970817,"xiaomiwear_app","outdoor_run_class",1711841084,1711931607,175,385,8635,2868,1711843955,190,1252,1346,33,26,198,188,241,14,96,1531,22,1,1711841084,8224,1711841084
"6218970817_xiaomiwear_app_1711324720",6218970817,"xiaomiwear_app","not_outdoor_run_class",1711324720,1711328323,110,106,14380,3478,1711328198,0,0,0,971,1804,NA,139,NA,31,70,NA,23,6,1711324720,NA,1711324720
"6218970817_xiaomiwear_app_1710114479",6218970817,"xiaomiwear_app","outdoor_run_class",1710114479,1710116261,167,174,5021,1390,1710115870,435,174,670,43,46,204,193,NA,16,86,NA,22,1,1710114479,4186,1710114479
"6218970817_xiaomiwear_app_1709648667",6218970817,"xiaomiwear_app","outdoor_run_class",1709648667,1709651309,152,244,6643,2401,1709651070,934,842,33,478,99,192,186,207,17,100,2121,22,1,1709648667,6356,1709648667
