"id","Uid","Did","Key","Time","UpdateTime","avg_height","avg_hrm","calories","distance","duration","end_time","entityEndTime","entityOffsetTime","entityStartTime","hrm_aerobic_duration","hrm_anaerobic_duration","hrm_extreme_duration","hrm_fat_burning_duration","hrm_warm_up_duration","max_cadence","max_height","max_hrm","max_pace","max_speed","min_height","min_hrm","min_pace","proto_type","sport_type","start_time","steps","time","training_experience","timezone","version","total_cal","forefoot_landing_duration","golpe_landing_duration","heel_landing_duration","requestDivingId","corrected_distance","anaerobic_train_effect","anaerobic_train_effect_level","avg_cadence","avg_pace","avg_stride","energy_consume","recover_time","reserve_hr_zone","running_ability_index","running_ability_level","train_effect","aerobic_train_effect_level","train_load","train_load_level","valid_duration","vo2_max","vo2_max_level","avg_speed","fall_height","rise_height"
"6218970817_789218978_1760224778",6218970817,"789218978","outdoor_run_class",1760224778,1760295406,2446.918,134,355,7288,3992,1760228770,NA,NA,NA,639,1101,45,430,1663,213,2459.4666,185,402,8.953035,2435.3616,90,1038,22,1,1760224778,8791,1760224778,NA,-24,5,443,NA,NA,NA,NA,NA,0.389005,1,132,547,74,0,19,0,0,0,2.7667394,3,60,1,0,42,3,6.573133,60.275635,59.773193
"6218970817_789218978_1759101560",6218970817,"789218978","outdoor_run_class",1759101560,1759115955,2448.4478,150,503,9938,4287,1759105847,1759105847,-21600,1759101560,2740,840,27,577,62,186,2471.7769,181,398,9.043034,2427.818,67,850,22,1,1759101560,11712,1759101560,2,-24,5,598,NA,NA,NA,NA,NA,0,1,163,431,80,0,47,0,0,0,4.2042055,5,115,2,0,42,3,8.345843,63.653564,67.351074
"6218970817_789218978_1758496771",6218970817,"789218978","outdoor_run_class",1758496771,1758501387,2436.5837,154,520,10453,4567,1758501338,NA,NA,NA,2578,1537,0,409,20,213,2455.7693,179,400,8.982611,2422.9397,72,835,22,1,1758496771,12541,1758496771,NA,-24,5,621,NA,NA,NA,NA,NA,0,1,164,436,80,0,72,0,0,0,4.929949,5,142,3,0,42,3,8.239843,75.50903,77.556885
"6218970817_789218978_1758064140",6218970817,"789218978","outdoor_run_class",1758064140,1758068939,2447.4878,153,505,8816,4056,1758068196,1758068196,-21600,1758064140,3287,624,0,119,16,213,2472.3005,174,391,9.184942,2440.781,97,799,22,1,1758064140,11389,1758064140,2,-24,5,594,NA,NA,NA,NA,NA,0,1,168,460,82,0,65,0,0,0,4.4200945,5,123,2,0,42,3,7.825113,97.61865,67.74341
"6218970817_789218978_1757285935",6218970817,"789218978","outdoor_run_class",1757285935,1757292399,2473.8435,144,507,9578,4513,1757290449,1757290449,-21600,1757285935,3570,141,0,392,387,186,2494.721,170,397,9.065026,2453.296,71,797,22,1,1757285935,12266,1757285935,3,-24,5,607,NA,NA,NA,NA,NA,0,1,163,471,80,0,38,0,0,0,3.8139496,4,100,2,0,45,4,7.6406274,63.63745,65.54224
"6218970817_777365055_1755473317",6218970817,"777365055","outdoor_run_class",1755473317,1755477934,NA,150,372,8309,3778,1755477092,NA,NA,NA,1004,1748,28,452,506,180,NA,181,326,10.59,NA,69,1000,22,1,1755473317,9808,1755473317,NA,-24,1,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1755382504",6218970817,"777365055","outdoor_run_class",1755382504,1755477932,NA,139,432,9297,5050,1755387550,NA,NA,NA,474,1750,58,989,1763,182,NA,180,303,11.31,NA,95,1333,22,1,1755382504,11383,1755382504,NA,-24,1,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1746401730",6218970817,"777365055","outdoor_run_class",1746401730,1746422530,NA,158,460,10108,4149,1746405876,NA,NA,NA,654,2802,67,275,312,182,NA,182,309,10.52,NA,70,1571,22,1,1746401730,11254,1746401730,NA,-24,1,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1745797180",6218970817,"777365055","outdoor_run_class",1745797180,1745864960,NA,154,423,9952,3977,1745801161,NA,NA,NA,946,2091,56,656,203,182,NA,183,294,11.7,NA,69,1400,22,1,1745797180,10737,1745797180,NA,-24,1,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1744588467",6218970817,"777365055","outdoor_run_class",1744588467,1744609084,NA,120,50,1598,832,1744589299,NA,NA,NA,115,0,0,367,262,190,NA,154,222,15.1,NA,70,1000,22,1,1744588467,1862,1744588467,NA,-24,1,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
